,CODE POSTAL,geom_x_y,NOM DE LA COMMUNE
107,9140,"42.8967635679,1.19463483145",SOUEIX ROGALLE
108,9400,"42.8596289181,1.5816290081",SURBA
109,9140,"42.7738686412,1.2631778859",USTOU
110,9130,"43.2055435306,1.3790061442",STE SUZANNE
111,10700,"48.5278271069,4.14197110248",ARCIS SUR AUBE
112,10220,"48.3556065426,4.20154600861",ASSENCIERES
113,10240,"48.4783453651,4.41533916578",AULNAY
114,10220,"48.3493701075,4.40891289591",BREVONNES
115,10400,"48.4683742502,3.40826279907",COURCEROY
116,10250,"48.0158955868,4.46256663692",COURTERON
117,10100,"48.4404732902,3.6537864039",LA FOSSE CORDUAN
118,10300,"48.3057699165,3.91365964088",MACEY
119,10160,"48.1523036289,3.86532738324",MARAYE EN OTHE
120,10500,"48.4332955789,4.38844568734",MOLINS SUR AUBE
121,10220,"48.3987860925,4.27579822531",ONJON
122,10700,"48.5339280475,4.06177485223",POUAN LES VALLEES
123,10290,"48.4140043943,3.64891002916",RIGNY LA NONNEUSE
124,10100,"48.5185939749,3.72154151549",ROMILLY SUR SEINE
125,10300,"48.2963408998,4.02333022061",STE SAVINE
126,10600,"48.407677761,4.00228117316",VILLACERF
127,10410,"48.3182253913,4.14937893854",VILLECHETIF
128,10140,"48.2487579972,4.39081684128",LA VILLENEUVE AU CHENE
129,10200,"48.2360883713,4.76532474234",VOIGNY
130,11170,"43.2652998624,2.17459434048",ALZONNE
131,11800,"43.2207146123,2.50470148133",BADENS
132,11140,"42.7846761103,2.13835524399",BESSEDE DE SAULT
133,11300,"42.9957636831,2.16146598721",BOURIEGE
134,11140,"42.7166535371,2.1756411124",LE BOUSQUET
135,11220,"43.0641782017,2.56293845393",CAUNETTES EN VAL
136,11500,"42.8636835943,2.11985831912",COUDONS
137,11400,"43.2708066932,1.94828248478",FENDEILLE
138,11300,"42.9618144716,2.11582079753",FESTES ET ST ANDRE
139,11220,"43.0648889852,2.47120935323",LABASTIDE EN VAL
140,11480,"42.9660377916,2.99265326968",LA PALME
141,11240,"43.0818910359,2.05925585786",MONTHAUT
142,11420,"43.2103140883,1.83766149326",PECH LUNA
143,11420,"43.2460152327,1.81716569517",PEYREFITTE SUR L HERS
144,11800,"43.2179978056,2.47940555787",RUSTIQUES
145,11120,"43.2489566147,2.89118063794",ST NAZAIRE D AUDE
146,11400,"43.3559262458,1.91704210416",SOUILHANELS
147,11600,"43.2718025661,2.34692667896",VILLEGAILHENC
148,11150,"43.2278470431,2.08978989468",VILLESISCLE
149,12300,"44.6009371852,2.31097212819",ALMONT LES JUNIES
150,12700,"44.5596095618,2.06863929998",CAPDENAC GARE
151,12500,"44.5310923776,2.88749197911",CASTELNAU DE MANDAILLES
152,12550,"43.947128591,2.59314085517",COUPIAC
153,12450,"44.2880137822,2.62175551429",FLAVIN
154,12200,"44.3218697288,2.08182819744",MORLHON LE HAUT
155,12330,"44.5143822131,2.52108945379",MOURET
156,12000,"44.3825530939,2.56000835023",ONET LE CHATEAU
157,12130,"44.4867594811,3.05866574301",POMAYROLS
158,12470,"44.5418402145,2.97032674456",PRADES D AUBRAC
159,12330,"44.4799129535,2.39660455917",ST CHRISTOPHE VALLON
160,12500,"44.5314215162,2.82190819996",ST COME D OLT
161,12230,"44.0262087023,3.38224826789",ST JEAN DU BRUEL
162,12720,"44.1818960497,3.30715443972",VEYREAU
163,12780,"44.2679981187,2.92575800141",VEZINS DE LEVEZOU
164,12580,"44.5432878165,2.57548637915",VILLECOMTAL
165,13680,"43.5760406168,5.15953601477",LANCON PROVENCE
166,13300,"43.6462885238,5.06814649576",SALON DE PROVENCE
167,13670,"43.8386551607,4.9188995104",VERQUIERES
168,14480,"49.3006069672,-0.584555830953",BAZENVILLE
169,14330,"49.2546153237,-0.855456824722",LE BREUIL EN BESSIN
170,14130,"49.2269826384,0.293881828632",LE BREVEDENT
171,14250,"49.2097089493,-0.562946879725",BROUAY
172,14130,"49.2411702401,0.134575376763",CLARBEC
173,14400,"49.2837425646,-0.762152432612",CUSSY
